t, tm1, tm2, tm3
0.000000, 0.874637, -3.766580, 1.767455
0.020000, 0.873174, -3.768869, 1.769574
0.040000, 0.874183, -3.768083, 1.768180
0.060000, 0.872967, -3.767915, 1.766838
0.080000, 0.873188, -3.767761, 1.769362
0.100000, 0.873642, -3.766979, 1.769837
0.120000, 0.874030, -3.768402, 1.768473
0.140000, 0.873662, -3.768042, 1.768478
0.160000, 0.875555, -3.765030, 1.769643
0.180000, 0.874039, -3.767351, 1.769057
0.200000, 0.873464, -3.767326, 1.770159
0.220000, 0.873828, -3.769063, 1.769756
0.240000, 0.873423, -3.767325, 1.770184
0.260000, 0.874088, -3.767330, 1.768256
0.280000, 0.874481, -3.766710, 1.769625
0.300000, 0.873532, -3.769198, 1.770024
0.320000, 0.873863, -3.767534, 1.769277
0.340000, 0.873949, -3.769816, 1.768147
0.360000, 0.872637, -3.769110, 1.768530
0.380000, 0.874370, -3.771003, 1.772127
0.400000, 0.873884, -3.767863, 1.769464
0.420000, 0.874504, -3.767202, 1.769912
0.440000, 0.872812, -3.766995, 1.770359
0.460000, 0.873435, -3.769034, 1.769227
0.480000, 0.873474, -3.767624, 1.769571
0.500000, 0.872778, -3.767423, 1.770645
0.520000, 0.872429, -3.766913, 1.770545
0.540000, 0.873271, -3.767247, 1.768711
0.560000, 0.873209, -3.767368, 1.769580
0.580000, 0.873252, -3.768268, 1.768105
0.600000, 0.872048, -3.767007, 1.770839
0.620000, 0.872436, -3.768267, 1.769374
0.640000, 0.873889, -3.767626, 1.771309
0.660000, 0.872087, -3.767658, 1.769217
0.680000, 0.872190, -3.767973, 1.769347
0.700000, 0.873229, -3.766662, 1.770368
0.720000, 0.872583, -3.766406, 1.771375
0.740000, 0.872065, -3.768090, 1.769495
0.760000, 0.873056, -3.768168, 1.770921
0.780000, 0.877956, -3.778159, 1.783857
0.800000, 0.871913, -3.768045, 1.769560
0.820000, 0.872627, -3.767458, 1.769997
0.840000, 0.871697, -3.767728, 1.769501
0.860000, 0.871934, -3.767589, 1.769270
0.880000, 0.871261, -3.768428, 1.771721
0.900000, 0.872162, -3.767081, 1.770049
0.920000, 0.872909, -3.766703, 1.770592
0.940000, 0.871528, -3.767438, 1.769426
0.960000, 0.871852, -3.767830, 1.769467
0.980000, 0.872856, -3.767001, 1.772327
1.000000, 0.872416, -3.765815, 1.769596
1.020000, 0.871393, -3.767267, 1.769406
1.040000, 0.872271, -3.767118, 1.770007
1.060000, 0.871880, -3.766732, 1.770013
1.080000, 0.871084, -3.768035, 1.771589
1.100000, 0.872443, -3.767785, 1.771066
1.120000, 0.871677, -3.767705, 1.769500
1.140000, 0.871772, -3.768825, 1.768129
1.159999, 0.871995, -3.766838, 1.770005
1.179999, 0.871030, -3.768250, 1.768998
1.199999, 0.872676, -3.766359, 1.770524
1.219999, 0.872719, -3.766318, 1.770471
1.239999, 0.872203, -3.765537, 1.769554
1.259999, 0.872764, -3.766378, 1.770481
1.279999, 0.873143, -3.767262, 1.771544
1.299999, 0.873786, -3.770239, 1.774007
1.319999, 0.871266, -3.765965, 1.769161
1.339999, 0.871873, -3.765617, 1.769807
1.359999, 0.870674, -3.767431, 1.770717
1.379999, 0.871602, -3.766808, 1.770229
1.399999, 0.872132, -3.768153, 1.771483
1.419999, 0.871104, -3.766623, 1.771187
1.439999, 0.870683, -3.768316, 1.772009
1.459999, 0.869320, -3.767498, 1.769599
1.479999, 0.872371, -3.767657, 1.769337
1.499999, 0.872368, -3.765551, 1.767748
1.519999, 0.873451, -3.765223, 1.768871
1.539999, 0.873320, -3.771173, 1.772132
1.559999, 0.870315, -3.767358, 1.774099
1.579999, 0.870898, -3.766504, 1.770767
1.599999, 0.871494, -3.768109, 1.769862
1.619999, 0.872306, -3.766317, 1.770250
1.639999, 0.872025, -3.768608, 1.769838
1.659999, 0.872735, -3.766816, 1.769534
1.679999, 0.872218, -3.759650, 1.766697
1.699999, 0.867732, -3.744711, 1.759054
1.719999, 0.873750, -3.765892, 1.767115
1.739999, 0.876033, -3.777809, 1.773775
1.759999, 0.874543, -3.772922, 1.770925
1.779999, 0.875357, -3.772335, 1.772536
1.799999, 0.873216, -3.768199, 1.770077
1.819999, 0.873446, -3.768553, 1.768650
1.839999, 0.871287, -3.767726, 1.769750
1.859999, 0.872407, -3.767572, 1.770956
1.879999, 0.870416, -3.766518, 1.770311
1.899999, 0.871113, -3.765012, 1.770949
1.919999, 0.869555, -3.761761, 1.769159
1.939999, 0.868116, -3.747924, 1.764497
1.959999, 0.855245, -3.716140, 1.749529
1.979999, 0.824296, -3.625418, 1.713035
1.999999, 0.789447, -3.528256, 1.673440
2.019999, 0.778646, -3.526919, 1.680421
2.039999, 0.730029, -3.458276, 1.670767
2.059999, 0.674896, -3.368157, 1.646173
2.079999, 0.654212, -3.292829, 1.617466
2.099999, 0.625856, -3.203852, 1.577936
2.119999, 0.565059, -3.083689, 1.537616
2.139999, 0.506548, -2.951351, 1.496137
2.159999, 0.450724, -2.807578, 1.442777
2.179999, 0.388934, -2.637802, 1.379651
2.199999, 0.319205, -2.462357, 1.314991
2.219999, 0.245942, -2.276016, 1.245522
2.239999, 0.182740, -2.102782, 1.178553
2.259999, 0.125942, -1.934336, 1.110478
2.279999, 0.070036, -1.763298, 1.040960
2.299999, 0.020710, -1.596843, 0.967356
2.319999, -0.024302, -1.431281, 0.894825
2.339998, -0.062061, -1.277123, 0.821069
2.359998, -0.079719, -1.133193, 0.736307
2.379998, -0.074263, -1.016186, 0.670321
2.399998, -0.053985, -0.914992, 0.596011
2.419998, -0.024462, -0.829450, 0.525836
2.439998, 0.002128, -0.746801, 0.457252
2.459998, 0.024299, -0.667320, 0.393821
2.479998, 0.045522, -0.602665, 0.340840
2.499998, 0.076792, -0.543850, 0.289717
2.519998, 0.104659, -0.490831, 0.234895
2.539998, 0.130920, -0.435806, 0.184800
2.559998, 0.158010, -0.379546, 0.136414
2.579998, 0.172937, -0.316883, 0.086242
2.599998, 0.180111, -0.242355, 0.038541
2.619998, 0.162745, -0.151024, -0.007961
2.639998, 0.130991, -0.046509, -0.052402
2.659998, 0.107483, 0.044087, -0.095887
2.679998, 0.097835, 0.122225, -0.136590
2.699998, 0.085403, 0.198071, -0.175396
2.719998, 0.071579, 0.272057, -0.209723
2.739998, 0.065065, 0.330782, -0.242155
2.759998, 0.063433, 0.384839, -0.275012
2.779998, 0.058303, 0.434300, -0.303355
2.799998, 0.047757, 0.488178, -0.330578
2.819998, 0.035227, 0.536058, -0.352613
2.839998, 0.025661, 0.572661, -0.367095
2.859998, 0.027154, 0.590541, -0.380179
2.879998, 0.037489, 0.595481, -0.389089
2.899998, 0.047992, 0.589222, -0.390950
2.919998, 0.057529, 0.577885, -0.390143
2.939998, 0.063977, 0.556366, -0.379407
2.959998, 0.067947, 0.525366, -0.363632
2.979998, 0.066420, 0.491669, -0.343790
2.999998, 0.063396, 0.463185, -0.326042
3.019998, 0.060826, 0.436426, -0.307374
3.039998, 0.060894, 0.411406, -0.290463
3.059998, 0.061521, 0.387549, -0.272353
3.079998, 0.056082, 0.372254, -0.260953
3.099998, 0.051141, 0.357371, -0.251642
3.119998, 0.048968, 0.343494, -0.239147
3.139998, 0.045322, 0.335534, -0.232874
3.159998, 0.039893, 0.329660, -0.229233
3.179998, 0.041096, 0.319179, -0.222128
3.199998, 0.046048, 0.309088, -0.222874
3.219998, 0.055154, 0.293274, -0.213379
3.239998, 0.058501, 0.276305, -0.206822
3.259998, 0.058200, 0.259168, -0.198192
3.279998, 0.048325, 0.244054, -0.187817
3.299998, 0.040142, 0.240237, -0.173804
3.319998, 0.029512, 0.232356, -0.162898
3.339998, 0.020248, 0.227825, -0.151168
3.359998, 0.003340, 0.228693, -0.145215
3.379997, -0.009120, 0.226877, -0.132395
3.399997, -0.021369, 0.224081, -0.125820
3.419997, -0.026130, 0.214372, -0.117360
3.439997, -0.026435, 0.201287, -0.107117
3.459997, -0.030490, 0.190874, -0.100170
3.479997, -0.038527, 0.183583, -0.093148
3.499997, -0.044017, 0.178775, -0.083531
3.519997, -0.049128, 0.177106, -0.075586
3.539997, -0.058705, 0.170800, -0.075151
3.559997, -0.062089, 0.172009, -0.070794
3.579997, -0.063362, 0.167712, -0.067315
3.599997, -0.061467, 0.160908, -0.063028
3.619997, -0.058793, 0.151183, -0.059147
3.639997, -0.055798, 0.148732, -0.056502
3.659997, -0.056822, 0.146627, -0.055480
3.679997, -0.055291, 0.149232, -0.056267
3.699997, -0.059416, 0.146372, -0.055641
3.719997, -0.065730, 0.146323, -0.051216
3.739997, -0.075180, 0.146934, -0.046210
3.759997, -0.084780, 0.151753, -0.043208
3.779997, -0.098127, 0.162282, -0.038639
3.799997, -0.113225, 0.177184, -0.038711
3.819997, -0.130872, 0.185431, -0.035796
3.839997, -0.142885, 0.193838, -0.030596
3.859997, -0.160783, 0.199196, -0.025295
3.879997, -0.177568, 0.207995, -0.019089
3.899997, -0.191490, 0.218748, -0.015840
3.919997, -0.200077, 0.221099, -0.011689
3.939997, -0.198531, 0.210196, -0.007970
3.959997, -0.184355, 0.187759, -0.000832
3.979997, -0.169122, 0.160219, 0.007359
3.999997, -0.156240, 0.139047, 0.011863
4.019997, -0.152464, 0.137351, 0.011041
4.039997, -0.153829, 0.142261, 0.005657
4.059997, -0.148563, 0.145923, 0.002914
4.079997, -0.135236, 0.135524, -0.002178
4.099997, -0.112102, 0.116902, -0.003839
4.119997, -0.088007, 0.101199, -0.006645
4.139997, -0.071887, 0.088480, -0.012038
4.159997, -0.059523, 0.078956, -0.013087
4.179997, -0.049746, 0.070841, -0.013680
4.199997, -0.038158, 0.058270, -0.013615
4.219997, -0.023623, 0.044299, -0.013275
4.239997, -0.010318, 0.029639, -0.008439
4.259997, -0.001473, 0.025453, -0.012618
4.279997, 0.001970, 0.023499, -0.015564
4.299997, -0.000579, 0.012326, -0.007742
4.319997, -0.012464, 0.015730, -0.001661
4.339997, -0.024435, 0.025587, -0.007295
4.359997, -0.023540, 0.029951, -0.002852
4.379997, -0.023882, 0.033728, -0.010543
4.399997, -0.019200, 0.025623, -0.003168
4.419997, -0.025646, 0.033580, -0.004393
4.439997, -0.034377, 0.034283, -0.001413
4.459997, -0.053228, 0.034851, 0.010598
4.479997, -0.012972, -0.005363, 0.017789
4.499997, -0.032129, 0.014600, 0.016426
4.519997, -0.029982, 0.007400, 0.025712
4.539997, -0.036089, 0.007814, 0.032767
4.559997, -0.047776, 0.010264, 0.028068
4.579997, -0.047361, 0.012923, 0.037374
4.599997, -0.025062, -0.010258, 0.030331
4.619997, -0.020360, -0.045157, 0.030703
4.639997, -0.009771, -0.051554, 0.034388
4.659997, -0.018940, -0.077090, 0.050830
4.679996, -0.042791, -0.051190, 0.053976
4.699996, -0.038533, -0.022113, 0.090188
4.719996, -0.026157, -0.011641, 0.072093
4.739996, -0.026655, -0.026233, 0.099920
4.759996, 0.010021, -0.001225, -0.001173
4.779996, -0.035718, -0.057187, 0.029656
4.799996, -0.033463, -0.054856, 0.055639
4.819996, -0.039004, -0.029974, 0.043327
4.839996, -0.002757, -0.026125, 0.027841
4.859996, -0.009045, -0.042936, 0.019213
4.879996, -0.011662, -0.036277, 0.005741
4.899996, -0.004758, -0.039709, 0.019017
4.919996, -0.003057, -0.011642, -0.009946
4.939996, 0.007536, -0.013867, 0.002525
4.959996, 0.009805, -0.010300, -0.005930
4.979996, 0.012147, -0.008523, -0.018309
4.999996, 0.021722, 0.003036, -0.022371
5.019996, 0.027624, 0.002531, -0.020856
5.039996, 0.024302, 0.009752, -0.026071
5.059996, 0.029297, 0.019669, -0.034969
5.079996, 0.037571, 0.024626, -0.037654
5.099996, 0.031818, 0.032031, -0.043189
5.119996, 0.037253, 0.043932, -0.047992
5.139996, 0.043539, 0.043503, -0.053664
5.159996, 0.052157, 0.048275, -0.059408
5.179996, 0.036330, 0.046105, -0.067885
5.199996, 0.064075, 0.051539, -0.057531
5.219996, 0.066493, 0.054805, -0.055830
5.239996, 0.031224, 0.033994, -0.045118
5.259996, 0.030730, 0.045718, -0.041949
5.279996, 0.009953, 0.038054, -0.045813
5.299996, -0.000112, 0.052383, -0.041041
5.319996, -0.005253, 0.040630, -0.031619
5.339996, -0.004755, 0.036789, -0.028980
5.359996, -0.001684, 0.029641, -0.020629
5.379996, -0.017270, 0.035208, -0.022426
5.399996, -0.022234, 0.024725, -0.006756
5.419996, -0.016103, 0.007292, 0.009998
5.439996, -0.026742, 0.006230, 0.012017
5.459996, -0.035150, -0.008783, 0.034305
5.479996, -0.040868, -0.024592, 0.045902
5.499996, -0.049117, -0.035669, 0.045736
5.519996, -0.053798, -0.036046, 0.060486
5.539996, -0.050433, -0.035109, 0.066088
5.559996, -0.032186, -0.058311, 0.072388
5.579996, -0.048026, -0.023388, 0.067376
5.599996, -0.061962, -0.038278, 0.044407
5.619996, -0.049435, -0.044186, 0.076571
5.639996, -0.061231, -0.031385, 0.082153
5.659996, -0.035914, -0.062004, 0.104757
5.679996, 0.002339, -0.085904, 0.026442
5.699996, -0.024997, -0.102621, 0.029375
5.719995, -0.052720, -0.063418, -0.011334
5.739995, -0.039269, 0.012327, 0.038449
5.759995, -0.018045, 0.035719, 0.004008
5.779995, -0.050903, 0.013574, 0.022508
5.799995, -0.019773, 0.009216, 0.029075
5.819995, -0.032112, 0.032528, 0.020878
5.839995, -0.015756, 0.059285, 0.007277
5.859995, -0.026435, 0.003448, 0.007501
5.879995, -0.021510, 0.018054, -0.006371
5.899995, 0.007212, 0.004903, -0.036066
5.919995, 0.032814, 0.003775, -0.025400
5.939995, 0.045395, 0.009355, -0.037374
5.959995, 0.048604, 0.016140, -0.045313
5.979995, 0.048568, 0.023839, -0.039806
5.999995, 0.053913, 0.018353, -0.036031
6.019995, 0.045657, 0.023228, -0.031523
6.039995, 0.064420, 0.034796, -0.065052
6.059995, 0.058301, 0.029562, -0.019189
6.079995, 0.044537, 0.027732, -0.059879
6.099995, 0.056200, 0.062493, -0.070198
6.119995, 0.049732, 0.037101, -0.041948
6.139995, 0.030023, 0.063794, -0.075495
6.159995, 0.045806, 0.059072, -0.062716
6.179995, 0.012211, 0.056151, -0.069052
6.199995, 0.054070, 0.048594, -0.079549
6.219995, 0.040705, 0.053489, -0.089600
6.239995, -0.017124, 0.113460, -0.081409
6.259995, -0.030711, 0.082876, -0.124257
6.279995, 0.025046, 0.128917, -0.035706
6.299995, 0.082875, -0.004493, 0.011447
6.319995, -0.037113, 0.003206, 0.000575
6.339995, -0.060114, 0.015208, 0.030164
6.359995, -0.072530, -0.005002, 0.025321
6.379995, -0.088522, 0.002295, 0.071570
6.399995, -0.102241, -0.032469, 0.135749
6.419995, -0.061745, -0.014994, 0.063866
6.439995, -0.038807, -0.050161, 0.094826
6.459995, -0.041811, -0.036811, 0.059555
6.479995, -0.049530, -0.052780, 0.062835
6.499995, -0.056766, -0.050596, 0.065380
6.519995, -0.022536, -0.056343, 0.073127
6.539995, -0.013082, -0.041487, 0.038408
6.559995, -0.022319, -0.046707, 0.026524
6.579995, -0.016089, -0.042462, 0.017794
6.599995, -0.012244, -0.030090, 0.007992
6.619995, -0.003919, -0.008014, 0.005081
6.639995, 0.010416, -0.011791, -0.002080
6.659995, 0.010319, -0.004623, -0.003338
6.679995, 0.007442, 0.003107, -0.006692
6.699995, 0.011431, 0.000571, 0.000073
6.719995, 0.011644, 0.009664, -0.003577
6.739995, 0.013383, 0.007977, -0.010952
6.759995, 0.008209, 0.014476, -0.017302
6.779994, 0.010514, 0.014094, -0.008634
6.799994, 0.015578, 0.012393, -0.012176
6.819994, 0.017728, 0.006478, -0.018520
6.839994, 0.015422, 0.004705, -0.013827
6.859994, 0.016946, 0.001667, -0.021892
6.879994, 0.014754, 0.001484, -0.006325
6.899994, 0.004815, -0.001171, -0.001914
6.919994, 0.010217, -0.005215, 0.001037
6.939994, 0.011067, -0.002038, -0.005509
6.959994, 0.008331, -0.008898, 0.003808
6.979994, 0.001128, -0.004474, 0.010677
6.999994, 0.005336, -0.006533, 0.010606
7.019994, 0.003225, -0.003291, 0.002968
7.039994, 0.002497, -0.004012, -0.003802
7.059994, 0.004587, -0.003664, -0.000284
7.079994, 0.004164, 0.004148, -0.008368
7.099994, 0.008607, 0.012544, -0.006134
7.119994, 0.009049, 0.008366, -0.008321
7.139994, 0.010631, 0.014917, -0.008556
7.159994, 0.014904, 0.016776, -0.014440
7.179994, 0.010188, 0.022960, -0.023807
7.199994, 0.015912, 0.026142, -0.023411
7.219994, 0.013650, 0.018246, -0.021856
7.239994, 0.013604, 0.022539, -0.029606
7.259994, 0.013178, 0.029403, -0.030254
7.279994, 0.015052, 0.013508, -0.028660
7.299994, 0.018773, 0.020544, -0.021525
7.319994, 0.016868, 0.026690, -0.020733
7.339994, 0.024643, 0.020287, -0.021830
7.359994, 0.016532, 0.019538, -0.018303
7.379994, 0.006433, 0.035533, -0.023127
7.399994, 0.004936, 0.022072, -0.015436
7.419994, 0.007392, 0.006889, 0.000744
7.439994, -0.002074, 0.006805, -0.001435
7.459994, -0.008878, 0.001236, 0.002424
7.479994, -0.016287, 0.001219, 0.007698
7.499994, -0.018730, -0.005061, 0.013989
7.519994, -0.015341, -0.015988, 0.011701
7.539994, -0.017686, -0.020816, 0.021849
7.559994, -0.013390, -0.021190, 0.023203
7.579994, -0.019343, -0.013192, 0.011869
7.599994, -0.016376, -0.020893, 0.030754
7.619994, -0.020996, -0.026340, 0.029248
7.639994, -0.015863, -0.022823, 0.027556
7.659994, -0.024589, -0.018857, 0.026889
7.679994, -0.027307, -0.024267, 0.026924
7.699994, -0.018989, -0.029044, 0.038689
7.719994, -0.012092, -0.032858, 0.036784
7.739994, -0.012435, -0.028190, 0.036151
7.759994, -0.026514, -0.032159, 0.031965
7.779994, -0.028852, -0.032811, 0.030772
7.799994, -0.027398, -0.031956, 0.035110
7.819993, -0.025781, -0.035999, 0.030739
7.839993, -0.018576, -0.020646, 0.023509
7.859993, -0.012694, -0.026091, 0.028886
7.879993, -0.011578, -0.024680, 0.013505
7.899993, -0.009477, -0.020812, 0.011973
7.919993, -0.001940, -0.011713, 0.012238
7.939993, -0.002699, -0.012357, -0.001199
7.959993, 0.004261, -0.016646, 0.003345
7.979993, 0.009013, -0.013757, 0.002063
7.999993, 0.010266, -0.012437, 0.006243
8.019994, 0.016073, -0.010938, -0.000158
8.039994, 0.015727, -0.006194, -0.001380
8.059995, 0.016490, 0.001387, -0.011874
8.079995, 0.013901, -0.004083, -0.008106
8.099996, 0.018466, 0.003288, -0.007376
8.119996, 0.018680, 0.003449, -0.014188
8.139997, 0.021623, 0.007399, -0.015805
8.159997, 0.027671, 0.017406, -0.021959
8.179997, 0.027632, 0.019801, -0.023758
8.199998, 0.031469, 0.038262, -0.039778
8.219998, 0.041792, 0.038479, -0.044606
8.239999, 0.029607, 0.054383, -0.043466
8.259999, 0.031731, 0.068043, -0.062344
8.280000, 0.044594, 0.024613, -0.037816
8.300000, 0.033951, 0.085325, -0.078666
8.320001, 0.061648, 0.078288, -0.103878
8.340001, 0.021067, 0.061504, -0.036138
8.360002, 0.016730, 0.101568, -0.047553
8.380002, 0.007941, 0.049674, -0.084016
8.400002, 0.049246, 0.035759, -0.033079
8.420003, 0.015098, 0.073019, -0.020315
8.440003, 0.017916, 0.032272, -0.058993
8.460004, -0.023202, 0.050621, -0.025160
8.480004, -0.015543, 0.062507, -0.029411
8.500005, -0.018546, 0.019542, -0.013577
8.520005, -0.018898, 0.030060, -0.006183
8.540006, -0.019027, 0.025025, 0.004326
8.560006, -0.039123, 0.019184, 0.003236
8.580007, -0.042893, 0.011192, 0.020153
8.600007, -0.052041, -0.009851, 0.031358
8.620008, -0.059782, -0.036180, 0.027001
8.640008, -0.077704, -0.046473, 0.040960
8.660008, -0.069714, -0.045820, 0.063407
8.680009, -0.029715, -0.064413, 0.071747
8.700009, -0.034760, -0.056577, 0.063151
8.720010, -0.040937, -0.065417, 0.062207
8.740010, -0.048124, -0.077324, 0.087725
8.760011, -0.046750, -0.087735, 0.079622
8.780011, -0.054576, -0.065178, 0.097720
8.800012, -0.032145, -0.052839, 0.047670
8.820012, -0.045719, -0.053323, 0.098607
8.840013, -0.060779, -0.075245, 0.089078
8.860013, -0.043317, -0.039569, 0.048246
8.880013, -0.059176, -0.030440, 0.057312
8.900014, -0.056971, -0.020492, 0.033009
8.920014, -0.092608, -0.005740, 0.033257
8.940015, -0.033701, -0.004243, -0.007525
8.960015, -0.021094, 0.026011, -0.001044
8.980016, -0.019993, 0.043633, -0.010985
9.000016, -0.008764, 0.042928, -0.003282
9.020017, -0.003575, 0.048809, -0.019390
9.040017, 0.018381, 0.029549, -0.015818
9.060018, 0.031595, 0.045465, -0.024215
9.080018, 0.040178, 0.066120, -0.055569
9.100019, 0.039357, 0.047276, -0.071235
9.120019, 0.067509, 0.061613, -0.060470
9.140019, 0.056758, 0.086136, -0.073417
9.160020, 0.026058, 0.090133, -0.105884
9.180020, 0.097473, 0.006836, -0.036171
9.200021, 0.060729, 0.083277, -0.085119
9.220021, 0.075786, 0.063594, -0.085961
9.240022, 0.064014, 0.023764, -0.064022
9.260022, 0.047060, 0.020974, -0.045793
9.280023, 0.033662, 0.032701, -0.032722
9.300023, 0.009277, 0.036757, -0.029094
9.320024, -0.007074, 0.065702, -0.041694
9.340024, -0.023420, 0.082776, 0.006108
9.360024, 0.003824, -0.022434, -0.010893
9.380025, -0.032658, 0.040822, -0.012326
9.400025, -0.041135, 0.049612, -0.007475
9.420026, -0.053845, 0.016126, 0.018183
9.440026, -0.044754, 0.035008, 0.037218
9.460027, -0.041889, 0.061862, 0.065977
9.480027, -0.026131, -0.035289, 0.050759
9.500028, -0.048648, -0.026044, 0.020460
9.520028, -0.043327, -0.029903, 0.019951
9.540029, -0.050532, -0.029697, 0.024332
9.560029, -0.057406, 0.001152, -0.025840
9.580029, -0.011990, -0.046059, 0.022432
9.600030, -0.017911, -0.043570, 0.042199
9.620030, -0.015971, -0.035361, 0.035721
9.640031, -0.005536, -0.030914, 0.027783
9.660031, -0.009280, -0.021676, 0.031399
9.680032, -0.003853, -0.022951, 0.027279
9.700032, -0.001027, -0.019800, 0.021854
9.720033, 0.002054, -0.022341, 0.020810
9.740033, 0.003900, -0.034591, 0.020843
9.760034, -0.001821, -0.027402, 0.018536
9.780034, -0.003169, -0.021308, 0.004343
9.800035, -0.000076, -0.014914, 0.009440
9.820035, -0.003436, -0.012320, 0.004463
9.840035, -0.006078, -0.008402, 0.005514
9.860036, 0.002467, -0.010164, -0.006786
9.880036, -0.001696, -0.010509, 0.007454
9.900037, 0.007724, -0.011586, 0.006464
9.920037, 0.005938, -0.007995, -0.003843
9.940038, -0.000342, -0.007993, 0.009078
9.960038, -0.003511, -0.006923, 0.009999
9.980039, 0.006451, -0.009546, -0.001597
10.000039, 0.008644, -0.010254, -0.002151
10.020040, 0.005667, -0.006455, -0.002331
10.040040, 0.002625, -0.010810, 0.000887
10.060040, 0.004406, -0.005780, 0.004223
10.080041, 0.008048, -0.002681, -0.000403
10.100041, 0.009613, -0.005181, 0.005154
10.120042, 0.010513, -0.005741, 0.005780
10.140042, 0.010685, -0.000859, -0.000189
10.160043, 0.006567, -0.005620, 0.000517
10.180043, -0.001957, -0.000942, 0.003938
10.200044, 0.005950, 0.000256, 0.005302
10.220044, 0.006020, 0.004361, -0.002951
10.240045, 0.012689, 0.002112, -0.010671
10.260045, 0.015239, 0.003616, -0.012643
10.280046, 0.017747, 0.007525, -0.023130
10.300046, 0.015968, 0.019470, -0.017842
10.320046, 0.015271, 0.019166, -0.023496
10.340047, 0.022542, 0.017580, -0.028617
10.360047, 0.026605, 0.026162, -0.025533
10.380048, 0.024716, 0.021009, -0.038119
10.400048, 0.023746, 0.033074, -0.052859
10.420049, 0.028021, 0.015568, -0.027477
10.440049, 0.024990, 0.032904, -0.038607
10.460050, 0.021142, 0.036582, -0.025380
10.480050, 0.017000, 0.047344, -0.034969
10.500051, 0.019369, 0.021388, -0.024927
10.520051, 0.009305, 0.019796, -0.022265
10.540051, 0.007339, 0.013456, -0.018091
10.560052, 0.005958, 0.011314, -0.007377
10.580052, -0.000662, 0.008774, -0.007122
10.600053, -0.002431, 0.014265, 0.005339
10.620053, -0.015870, 0.010734, 0.001580
10.640054, -0.020818, -0.001734, 0.009024
10.660054, -0.018446, -0.012363, 0.013097
10.680055, -0.023848, -0.013762, 0.025736
10.700055, -0.023453, -0.019326, 0.018447
10.720056, -0.026345, -0.024911, 0.033677
10.740056, -0.016925, -0.035566, 0.044993
