t, x1_compfilter, x1_phiobs
0.000000, 0.722791, -0.000201
0.040000, 0.723103, -0.000387
0.060000, 0.722968, -0.000713
0.080000, 0.722585, -0.000777
0.100000, 0.722777, -0.000815
0.120000, 0.722591, -0.000871
0.140000, 0.722707, -0.000729
0.160000, 0.722639, -0.000621
0.180000, 0.723202, -0.000522
0.200000, 0.723100, -0.000460
0.220000, 0.723220, -0.000767
0.240000, 0.723354, -0.000635
0.260000, 0.723439, -0.000524
0.280000, 0.723267, -0.000627
0.300000, 0.723311, -0.000716
0.320000, 0.723238, -0.000591
0.340000, 0.722871, -0.000704
0.360000, 0.723306, -0.000785
0.380000, 0.723419, -0.000690
0.400000, 0.723545, -0.000767
0.420000, 0.723511, -0.000855
0.440000, 0.723913, -0.000885
0.460000, 0.723928, -0.000732
0.480000, 0.724306, -0.000644
0.500000, 0.724564, -0.000748
0.520000, 0.724332, -0.000840
0.540000, 0.724726, -0.000718
0.560000, 0.724895, -0.001011
0.600000, 0.724778, -0.001051
0.620000, 0.724926, -0.001285
0.640000, 0.724904, -0.001099
0.660000, 0.724477, -0.001128
0.680000, 0.724819, -0.000970
0.700000, 0.724950, -0.000819
0.720000, 0.725097, -0.000513
0.740000, 0.725325, -0.000649
0.760000, 0.725288, -0.000732
0.780000, 0.725334, -0.000628
0.800000, 0.725715, -0.000733
0.820000, 0.725933, -0.000833
0.840000, 0.725953, -0.001108
0.860000, 0.725615, -0.001130
0.880000, 0.725677, -0.001151
0.900000, 0.725719, -0.001182
0.920000, 0.725990, -0.001180
0.940000, 0.725697, -0.001168
0.960000, 0.725762, -0.000991
0.980000, 0.725771, -0.000837
1.000000, 0.725712, -0.000919
1.020000, 0.725781, -0.000990
1.040000, 0.725767, -0.000870
1.060000, 0.725826, -0.000770
1.080000, 0.725786, -0.000661
1.100000, 0.726061, -0.000772
1.120000, 0.726037, -0.000673
1.140000, 0.726122, -0.001171
1.159999, 0.725725, -0.001003
1.179999, 0.725392, -0.001055
1.199999, 0.725159, -0.001098
1.219999, 0.725282, -0.001339
1.239999, 0.725789, -0.001328
1.259999, 0.725851, -0.001130
1.279999, 0.725775, -0.001153
1.299999, 0.725605, -0.001175
1.319999, 0.725538, -0.001176
1.339999, 0.725583, -0.001203
1.359999, 0.725574, -0.001222
1.379999, 0.725663, -0.001222
1.399999, 0.725975, -0.001209
1.419999, 0.726163, -0.001400
1.439999, 0.726022, -0.001191
1.459999, 0.726188, -0.001205
1.479999, 0.726415, -0.001022
1.499999, 0.726255, -0.001064
1.519999, 0.725919, -0.001089
1.539999, 0.725668, -0.001132
1.559999, 0.725497, -0.001145
1.579999, 0.725318, -0.000976
1.599999, 0.725206, -0.000643
1.619999, 0.724962, -0.000752
1.639999, 0.725089, -0.000846
1.659999, 0.725200, -0.000743
1.679999, 0.725452, -0.000832
1.699999, 0.725560, -0.000920
1.719999, 0.725678, -0.000994
1.739999, 0.725400, -0.000870
1.759999, 0.725496, -0.000941
1.779999, 0.725379, -0.001018
1.799999, 0.725432, -0.001050
1.819999, 0.725449, -0.001103
1.839999, 0.725413, -0.001161
1.859999, 0.725484, -0.001379
1.879999, 0.725526, -0.001366
1.899999, 0.725251, -0.001361
1.919999, 0.725339, -0.001167
1.939999, 0.725216, -0.000993
1.959999, 0.725273, -0.001068
1.979999, 0.725402, -0.001123
1.999999, 0.725570, -0.001137
2.019999, 0.725728, -0.001179
2.039999, 0.725515, -0.001019
2.059999, 0.725427, -0.001070
2.079999, 0.725162, -0.001115
2.099999, 0.724940, -0.000976
2.119999, 0.724836, -0.001058
2.139999, 0.724689, -0.001095
2.159999, 0.724734, -0.001345
2.179999, 0.724859, -0.001346
2.199999, 0.724770, -0.001371
2.219999, 0.724845, -0.001366
2.239999, 0.725160, -0.001375
2.259999, 0.725329, -0.001554
2.279999, 0.725589, -0.001708
2.299999, 0.726038, -0.001623
2.319999, 0.725996, -0.001556
2.339998, 0.725974, -0.001505
2.359998, 0.726261, -0.001449
2.379998, 0.726132, -0.001205
2.399998, 0.725963, -0.001417
2.419998, 0.725874, -0.001381
2.439998, 0.726007, -0.001347
2.459998, 0.725717, -0.001320
2.479998, 0.726100, -0.001330
2.499998, 0.726060, -0.001333
2.519998, 0.726072, -0.001346
2.539998, 0.726273, -0.001147
2.559998, 0.726493, -0.000972
2.579998, 0.726596, -0.001037
2.599998, 0.726715, -0.000874
2.619998, 0.726525, -0.000925
2.639998, 0.726591, -0.000995
2.659998, 0.726510, -0.000881
2.679998, 0.726613, -0.000973
2.699998, 0.726656, -0.001035
2.719998, 0.726841, -0.000889
2.739998, 0.727202, -0.000951
2.759998, 0.727299, -0.001019
2.779998, 0.727211, -0.001081
2.799998, 0.727249, -0.001125
2.819998, 0.727583, -0.000967
2.839998, 0.727599, -0.001040
2.859998, 0.727884, -0.001107
2.879998, 0.727643, -0.001134
2.899998, 0.727581, -0.000969
2.919998, 0.727362, -0.001026
2.939998, 0.727148, -0.001092
2.959998, 0.726983, -0.001166
2.979998, 0.727039, -0.001201
2.999998, 0.727085, -0.001210
3.019998, 0.727287, -0.001258
3.039998, 0.727589, -0.001469
3.059998, 0.727706, -0.001453
3.079998, 0.727544, -0.001449
3.099998, 0.727228, -0.001233
3.119998, 0.727406, -0.001083
3.139998, 0.727257, -0.001335
3.159998, 0.727042, -0.001323
3.179998, 0.727132, -0.001127
3.199998, 0.727076, -0.000962
3.219998, 0.727033, -0.001029
3.239998, 0.727381, -0.001097
3.259998, 0.727330, -0.001133
3.279998, 0.727512, -0.001157
3.299998, 0.727429, -0.000984
3.319998, 0.727314, -0.000875
3.339998, 0.727423, -0.000769
3.359998, 0.727394, -0.000892
3.379997, 0.727718, -0.000990
3.399997, 0.727809, -0.001085
3.419997, 0.727798, -0.000981
3.439997, 0.727543, -0.000867
3.459997, 0.727730, -0.000772
3.479997, 0.727612, -0.000880
3.499997, 0.727794, -0.000978
3.519997, 0.727955, -0.001072
3.539997, 0.727701, -0.001115
3.559997, 0.727708, -0.001183
3.579997, 0.727577, -0.001199
3.599997, 0.727635, -0.001043
3.619997, 0.727654, -0.000902
3.639997, 0.727535, -0.000990
3.659997, 0.727585, -0.001033
3.679997, 0.727543, -0.001094
3.699997, 0.727606, -0.001142
3.719997, 0.727490, -0.001379
3.739997, 0.727261, -0.001184
3.759997, 0.727440, -0.001208
3.779997, 0.727536, -0.001042
3.799997, 0.727774, -0.001110
3.819997, 0.727412, -0.001145
3.839997, 0.727310, -0.001010
3.859997, 0.727236, -0.001273
3.879997, 0.726920, -0.001123
3.899997, 0.726801, -0.001202
3.919997, 0.726750, -0.001444
3.939997, 0.727036, -0.001252
3.959997, 0.727166, -0.001280
3.979997, 0.726933, -0.001287
3.999997, 0.726958, -0.001090
4.019997, 0.727005, -0.000966
4.039997, 0.727078, -0.000864
4.059997, 0.727198, -0.000962
4.079997, 0.727288, -0.000867
4.099997, 0.727571, -0.000770
4.119997, 0.727457, -0.000879
4.139997, 0.727420, -0.000797
4.159997, 0.727578, -0.000731
4.179997, 0.727877, -0.001038
4.199997, 0.727926, -0.001106
4.219997, 0.727820, -0.000964
4.239997, 0.727617, -0.001039
4.259997, 0.727577, -0.000927
4.279997, 0.727466, -0.001004
4.299997, 0.727319, -0.001088
4.319997, 0.727474, -0.001157
4.339997, 0.727203, -0.001225
4.359997, 0.727208, -0.001281
4.379997, 0.727038, -0.001284
4.399997, 0.727104, -0.001309
4.419997, 0.726906, -0.001528
4.439997, 0.726781, -0.001521
4.459997, 0.726897, -0.001501
4.479997, 0.726978, -0.001498
4.499997, 0.727265, -0.001462
4.519997, 0.727440, -0.001438
4.539997, 0.727528, -0.001426
4.559997, 0.727638, -0.001414
4.579997, 0.727862, -0.001199
4.599997, 0.727807, -0.001223
4.619997, 0.727751, -0.001256
4.639997, 0.727678, -0.001288
4.659997, 0.727618, -0.001301
4.679996, 0.727455, -0.001300
4.699996, 0.727508, -0.001125
4.719996, 0.727676, -0.000968
4.739996, 0.727919, -0.001046
4.759996, 0.727682, -0.001090
4.779996, 0.727484, -0.001170
4.799996, 0.727321, -0.001029
4.819996, 0.727521, -0.001307
4.839996, 0.727432, -0.001139
4.859996, 0.727281, -0.001182
4.879996, 0.727282, -0.001232
4.899996, 0.727365, -0.001262
4.919996, 0.727661, -0.001277
4.939996, 0.727642, -0.001289
4.959996, 0.727646, -0.001115
4.979996, 0.727691, -0.000964
4.999996, 0.727853, -0.001043
5.019996, 0.727995, -0.001102
5.039996, 0.727905, -0.000975
5.059996, 0.728176, -0.000868
5.079996, 0.728210, -0.000782
5.099996, 0.728131, -0.000914
5.119996, 0.728064, -0.001008
5.139996, 0.728439, -0.001304
5.159996, 0.728107, -0.001306
5.179996, 0.727862, -0.001324
5.199996, 0.727933, -0.001150
5.219996, 0.727730, -0.001208
5.239996, 0.727713, -0.001237
5.259996, 0.727546, -0.001465
5.279996, 0.727210, -0.001455
5.299996, 0.727160, -0.001459
5.319996, 0.727300, -0.001248
5.339996, 0.727534, -0.001290
5.359996, 0.727664, -0.001149
5.379996, 0.727933, -0.001006
5.399996, 0.727627, -0.001078
5.419996, 0.727823, -0.001130
5.439996, 0.727675, -0.000785
5.459996, 0.727818, -0.000896
5.479996, 0.727624, -0.001001
5.499996, 0.727664, -0.000897
5.519996, 0.727563, -0.000805
5.539996, 0.727661, -0.000922
5.559996, 0.727804, -0.001199
5.579996, 0.727761, -0.001254
5.599996, 0.727511, -0.001284
5.619996, 0.727637, -0.001308
5.639996, 0.727696, -0.001315
5.659996, 0.728083, -0.001151
5.679996, 0.727935, -0.001217
5.699996, 0.727992, -0.001265
5.719995, 0.727695, -0.001262
5.739995, 0.727697, -0.001312
5.759995, 0.727795, -0.001510
5.779995, 0.727965, -0.001306
5.799995, 0.727791, -0.001310
5.819995, 0.727808, -0.001329
5.839995, 0.727649, -0.001333
5.859995, 0.727800, -0.001171
5.879995, 0.727778, -0.001215
5.899995, 0.727959, -0.001225
5.919995, 0.728420, -0.001266
5.939995, 0.728261, -0.001108
5.959995, 0.728251, -0.000974
5.979995, 0.728440, -0.001060
5.999995, 0.728617, -0.000945
6.019995, 0.728463, -0.001041
6.039995, 0.728650, -0.001109
6.059995, 0.728668, -0.001162
6.079995, 0.728642, -0.001234
6.099995, 0.728419, -0.001276
6.119995, 0.728683, -0.001305
6.139995, 0.728756, -0.001319
6.159995, 0.728563, -0.001344
6.179995, 0.728693, -0.001363
6.199995, 0.728764, -0.001391
6.219995, 0.728673, -0.001392
6.239995, 0.728472, -0.001378
6.259995, 0.728795, -0.001373
6.279995, 0.729052, -0.001765
6.299995, 0.729179, -0.001492
6.319995, 0.729174, -0.001494
6.339995, 0.728967, -0.001284
6.359995, 0.728744, -0.001098
6.379995, 0.728616, -0.001157
6.399995, 0.728566, -0.001203
6.419995, 0.728220, -0.001244
6.439995, 0.728246, -0.001276
6.459995, 0.727916, -0.001282
6.479995, 0.727685, -0.001306
6.499995, 0.727770, -0.001508
6.519995, 0.727530, -0.001695
6.539995, 0.727374, -0.001446
6.559995, 0.727475, -0.001247
6.579995, 0.727694, -0.001251
6.599995, 0.727613, -0.001104
6.619995, 0.727400, -0.000961
6.639995, 0.727298, -0.001047
6.659995, 0.727474, -0.001113
6.679995, 0.727447, -0.001173
6.699995, 0.727527, -0.001232
6.719995, 0.727322, -0.001456
6.739995, 0.727502, -0.001259
6.759995, 0.727568, -0.001314
6.779994, 0.727368, -0.001347
6.799994, 0.727270, -0.001360
6.819994, 0.727347, -0.001372
6.839994, 0.727382, -0.001380
6.859994, 0.727553, -0.001387
6.879994, 0.727520, -0.001417
6.899994, 0.727672, -0.001426
6.919994, 0.727543, -0.001427
6.939994, 0.727729, -0.001216
6.959994, 0.727907, -0.001249
6.979994, 0.727726, -0.001289
6.999994, 0.727603, -0.001319
7.019994, 0.727342, -0.001329
7.039994, 0.727484, -0.001336
7.059994, 0.727265, -0.001342
7.079994, 0.727300, -0.001346
7.099994, 0.727535, -0.001361
7.119994, 0.727515, -0.001363
7.139994, 0.727174, -0.001353
7.159994, 0.727254, -0.001750
7.179994, 0.727412, -0.001698
7.199994, 0.727446, -0.001645
7.219994, 0.727354, -0.001187
7.239994, 0.727322, -0.001207
7.259994, 0.726903, -0.001042
7.279994, 0.726680, -0.000713
7.299994, 0.726518, -0.000822
7.319994, 0.726484, -0.000740
7.339994, 0.726023, -0.000649
7.359994, 0.725998, -0.000789
7.379994, 0.725912, -0.000878
7.399994, 0.725780, -0.001177
7.419994, 0.725387, -0.002755
7.439994, 0.725340, -0.002683
7.459994, 0.725193, -0.002244
7.479994, 0.725334, -0.002065
7.499994, 0.725420, -0.001955
7.519994, 0.725589, -0.001833
7.539994, 0.725640, -0.001911
7.559994, 0.725725, -0.001571
7.579994, 0.725860, -0.001313
7.599994, 0.726191, -0.001306
7.619994, 0.726425, -0.001293
7.639994, 0.726379, -0.001102
7.659994, 0.726635, -0.000978
7.679994, 0.726567, -0.001226
7.699994, 0.726917, -0.001285
7.719994, 0.727041, -0.001084
7.739994, 0.727159, -0.000927
7.759994, 0.727277, -0.001006
7.779994, 0.727438, -0.001057
7.799994, 0.727125, -0.000924
7.819993, 0.727348, -0.000989
7.839993, 0.727279, -0.000868
7.859993, 0.727329, -0.000963
7.879993, 0.727750, -0.000833
7.899993, 0.727918, -0.000742
7.919993, 0.727708, -0.000835
7.939993, 0.727769, -0.000940
7.959993, 0.727886, -0.001019
7.979993, 0.727857, -0.001074
7.999993, 0.727831, -0.001298
8.019994, 0.727817, -0.001519
8.039994, 0.727859, -0.001476
8.059995, 0.728247, -0.001451
8.079995, 0.728652, -0.001221
8.099996, 0.728818, -0.001633
8.119996, 0.728983, -0.001382
8.139997, 0.728431, -0.001360
8.159997, 0.728253, -0.001332
8.179997, 0.728203, -0.002477
8.199998, 0.727900, -0.002270
8.219998, 0.727859, -0.002088
8.239999, 0.727492, -0.001933
8.259999, 0.727569, -0.001826
8.280000, 0.727404, -0.001748
8.300000, 0.727515, -0.001476
8.320001, 0.726952, -0.001443
8.340001, 0.726924, -0.001409
8.360002, 0.727243, -0.001375
8.380002, 0.726840, -0.001361
8.400002, 0.726795, -0.001328
8.420003, 0.727088, -0.001325
8.440003, 0.727247, -0.001112
8.460004, 0.727195, -0.001126
8.480004, 0.727034, -0.001151
8.500005, 0.727093, -0.001383
8.520005, 0.727193, -0.001161
8.540006, 0.727045, -0.001161
8.560006, 0.727178, -0.001001
8.580007, 0.727322, -0.001073
8.600007, 0.727169, -0.001118
8.620008, 0.727485, -0.000949
8.640008, 0.727377, -0.001201
8.660008, 0.727691, -0.001233
8.680009, 0.727616, -0.001634
8.700009, 0.727829, -0.001363
8.720010, 0.727689, -0.001174
8.740010, 0.727647, -0.000804
8.760011, 0.727600, -0.000905
8.780011, 0.727653, -0.000979
8.800012, 0.727575, -0.001239
8.820012, 0.727718, -0.001250
8.840013, 0.727756, -0.001461
8.860013, 0.727718, -0.001253
8.880013, 0.727673, -0.001266
8.900014, 0.727445, -0.001495
8.920014, 0.727392, -0.001466
8.940015, 0.727616, -0.001446
8.960015, 0.727620, -0.001420
8.980016, 0.727686, -0.001410
9.000016, 0.727430, -0.001380
9.020017, 0.727280, -0.001579
9.040017, 0.727120, -0.001538
9.060018, 0.727053, -0.001483
9.080018, 0.727024, -0.001468
9.100019, 0.727055, -0.001997
9.120019, 0.726975, -0.001853
9.140019, 0.727091, -0.001740
9.160020, 0.727513, -0.001648
9.180020, 0.727489, -0.001777
9.200021, 0.727504, -0.001885
9.220021, 0.727600, -0.001758
9.240022, 0.727667, -0.001463
9.260022, 0.727776, -0.001992
9.280023, 0.727822, -0.001835
9.300023, 0.727717, -0.001741
9.320024, 0.727697, -0.001447
9.340024, 0.727539, -0.001203
9.360024, 0.727408, -0.001013
9.380025, 0.727312, -0.000851
9.400025, 0.727371, -0.000957
9.420026, 0.727308, -0.001216
9.440026, 0.727311, -0.001033
9.460027, 0.727287, -0.001255
9.480027, 0.727202, -0.001262
9.500028, 0.727269, -0.001263
9.520028, 0.727667, -0.001051
9.540029, 0.727543, -0.000909
9.560029, 0.727362, -0.000973
9.580029, 0.727208, -0.000802
9.600030, 0.727207, -0.000900
9.620030, 0.727070, -0.000949
9.640031, 0.727046, -0.000828
9.660031, 0.726976, -0.000709
9.680032, 0.726933, -0.000797
9.700032, 0.726982, -0.000854
9.720033, 0.726885, -0.000939
9.740033, 0.726734, -0.001214
9.760034, 0.726642, -0.001237
9.780034, 0.726575, -0.001242
9.800035, 0.726481, -0.001255
9.820035, 0.726466, -0.001276
9.840035, 0.726798, -0.001280
9.860036, 0.726734, -0.001280
9.880036, 0.726647, -0.001272
9.900037, 0.726195, -0.001279
9.920037, 0.726279, -0.001270
9.940038, 0.726204, -0.001277
9.960038, 0.726176, -0.001289
9.980039, 0.725969, -0.001304
10.000039, 0.725701, -0.001316
10.020040, 0.725600, -0.001327
10.040040, 0.725757, -0.001125
10.060040, 0.725776, -0.001154
10.080041, 0.725597, -0.000986
10.100041, 0.725648, -0.001424
10.120042, 0.725451, -0.001403
10.140042, 0.725726, -0.001378
10.160043, 0.725626, -0.001373
10.180043, 0.725794, -0.001377
10.200044, 0.725883, -0.001350
10.220044, 0.725816, -0.001131
10.240045, 0.725948, -0.001155
10.260045, 0.725723, -0.001174
10.280046, 0.725818, -0.001151
10.300046, 0.726092, -0.001177
10.320046, 0.726380, -0.001186
10.340047, 0.726405, -0.001196
10.360047, 0.726488, -0.001245
10.380048, 0.726295, -0.001269
10.400048, 0.726423, -0.001089
10.420049, 0.726650, -0.001307
10.440049, 0.726651, -0.001297
10.460050, 0.726764, -0.001291
10.480050, 0.727106, -0.001302
10.500051, 0.727154, -0.001278
10.520051, 0.727380, -0.001082
10.540051, 0.727581, -0.000889
10.560052, 0.727648, -0.000935
10.580052, 0.727661, -0.000997
10.600053, 0.728022, -0.001261
10.620053, 0.727962, -0.001249
10.640054, 0.727781, -0.001256
10.660054, 0.727872, -0.001046
10.680055, 0.727908, -0.000887
10.700055, 0.728168, -0.000955
10.720056, 0.728078, -0.001219
10.740056, 0.727933, -0.001234
10.760056, 0.728028, -0.001454
10.780057, 0.727966, -0.001437
10.800057, 0.727844, -0.001217
10.820058, 0.727777, -0.001240
10.840058, 0.727293, -0.001060
10.860059, 0.726918, -0.001087
10.880059, 0.726991, -0.001117
10.900060, 0.726539, -0.000943
10.920060, 0.726469, -0.001019
10.940061, 0.726604, -0.001049
10.960061, 0.726389, -0.001122
10.980062, 0.726187, -0.001164
11.000062, 0.726419, -0.001176
11.020062, 0.726370, -0.000808
11.040063, 0.726458, -0.000911
11.060063, 0.726287, -0.000790
11.080064, 0.726057, -0.000698
11.100064, 0.726427, -0.000642
11.120065, 0.726320, -0.000750
11.140065, 0.726412, -0.000837
11.160066, 0.726417, -0.001100
11.180066, 0.726250, -0.001144
11.200067, 0.726259, -0.000997
11.220067, 0.726092, -0.001084
11.240067, 0.726393, -0.000938
11.260068, 0.726537, -0.001010
11.280068, 0.726229, -0.001089
11.300069, 0.726320, -0.001137
11.320069, 0.726153, -0.001150
11.340070, 0.726010, -0.001396
11.360070, 0.725841, -0.001191
11.380071, 0.725811, -0.001206
11.400071, 0.726288, -0.001423
11.420072, 0.726727, -0.001437
11.440072, 0.727022, -0.001596
11.460073, 0.727085, -0.001719
11.480073, 0.726930, -0.001443
11.500073, 0.726677, -0.001224
11.520074, 0.726583, -0.001228
11.540074, 0.726085, -0.001253
11.560075, 0.726514, -0.001056
11.580075, 0.726252, -0.001094
11.600076, 0.726220, -0.001126
