t, adc1
0.000000, 237.000000
0.020000, 324.000000
0.040000, 361.000000
0.060000, 377.000000
0.080000, 384.000000
0.100000, 389.000000
0.120000, 389.000000
0.140000, 394.000000
0.160000, 392.000000
0.180000, 392.000000
0.200000, 393.000000
0.220000, 393.000000
0.240000, 392.000000
0.260000, 393.000000
0.280000, 394.000000
0.300000, 392.000000
0.320000, 393.000000
0.340000, 393.000000
0.360000, 393.000000
0.380000, 393.000000
0.400000, 390.000000
0.420000, 394.000000
0.440000, 392.000000
0.460000, 393.000000
0.480000, 393.000000
0.500000, 396.000000
0.520000, 393.000000
0.540000, 390.000000
0.560000, 395.000000
0.580000, 393.000000
0.600000, 394.000000
0.620000, 393.000000
0.640000, 393.000000
0.660000, 393.000000
0.680000, 394.000000
0.700000, 393.000000
0.720000, 394.000000
0.740000, 394.000000
0.760000, 394.000000
0.780000, 393.000000
0.800000, 393.000000
0.820000, 393.000000
0.840000, 392.000000
0.860000, 393.000000
0.880000, 393.000000
0.900000, 391.000000
0.920000, 393.000000
0.940000, 393.000000
0.960000, 394.000000
0.980000, 393.000000
1.000000, 393.000000
1.020000, 393.000000
1.040000, 394.000000
1.060000, 393.000000
1.080000, 394.000000
1.100000, 393.000000
1.120000, 394.000000
1.140000, 393.000000
1.159999, 394.000000
1.179999, 393.000000
1.199999, 393.000000
1.219999, 393.000000
1.239999, 394.000000
1.259999, 394.000000
1.279999, 393.000000
1.299999, 395.000000
1.319999, 394.000000
1.339999, 394.000000
1.359999, 394.000000
1.379999, 392.000000
1.399999, 394.000000
1.419999, 394.000000
1.439999, 394.000000
1.459999, 395.000000
1.479999, 393.000000
1.499999, 394.000000
1.519999, 394.000000
1.539999, 394.000000
1.559999, 394.000000
1.579999, 393.000000
1.599999, 394.000000
1.619999, 395.000000
1.639999, 394.000000
1.659999, 393.000000
1.679999, 394.000000
1.699999, 395.000000
1.719999, 394.000000
1.739999, 393.000000
1.759999, 394.000000
1.779999, 395.000000
1.799999, 394.000000
1.819999, 394.000000
1.839999, 394.000000
1.859999, 393.000000
1.879999, 394.000000
1.899999, 394.000000
1.919999, 394.000000
1.939999, 393.000000
1.959999, 394.000000
1.979999, 394.000000
1.999999, 395.000000
2.019999, 392.000000
2.039999, 394.000000
2.059999, 394.000000
2.079999, 393.000000
2.099999, 394.000000
2.119999, 394.000000
2.139999, 393.000000
2.159999, 394.000000
2.179999, 394.000000
2.199999, 393.000000
2.219999, 392.000000
2.239999, 393.000000
2.259999, 394.000000
2.279999, 394.000000
2.299999, 394.000000
2.319999, 393.000000
2.339998, 394.000000
2.359998, 394.000000
2.379998, 394.000000
2.399998, 395.000000
2.419998, 394.000000
2.439998, 394.000000
2.459998, 394.000000
2.479998, 393.000000
2.499998, 396.000000
2.519998, 394.000000
2.539998, 394.000000
2.559998, 393.000000
2.579998, 393.000000
2.599998, 394.000000
2.619998, 394.000000
2.639998, 393.000000
2.659998, 393.000000
2.679998, 393.000000
2.699998, 393.000000
2.719998, 394.000000
2.739998, 394.000000
2.759998, 393.000000
2.779998, 394.000000
2.799998, 393.000000
2.819998, 393.000000
2.839998, 394.000000
2.859998, 394.000000
2.879998, 393.000000
2.899998, 394.000000
2.919998, 394.000000
2.939998, 393.000000
2.959998, 393.000000
2.979998, 394.000000
2.999998, 393.000000
3.019998, 393.000000
3.039998, 395.000000
3.059998, 393.000000
3.079998, 394.000000
3.099998, 394.000000
3.119998, 397.000000
3.139998, 393.000000
3.159998, 390.000000
3.179998, 394.000000
3.199998, 393.000000
3.219998, 393.000000
3.239998, 393.000000
3.259998, 393.000000
3.279998, 394.000000
3.299998, 393.000000
3.319998, 395.000000
3.339998, 394.000000
3.359998, 394.000000
3.379997, 395.000000
3.399997, 394.000000
3.419997, 394.000000
3.439997, 394.000000
3.459997, 394.000000
3.479997, 394.000000
3.499997, 393.000000
3.519997, 393.000000
3.539997, 395.000000
3.559997, 394.000000
3.579997, 392.000000
3.599997, 393.000000
3.619997, 393.000000
3.639997, 394.000000
3.659997, 394.000000
3.679997, 394.000000
3.699997, 394.000000
3.719997, 394.000000
3.739997, 393.000000
3.759997, 393.000000
3.779997, 394.000000
3.799997, 394.000000
3.819997, 394.000000
3.839997, 392.000000
3.859997, 394.000000
3.879997, 394.000000
3.899997, 393.000000
3.919997, 394.000000
3.939997, 393.000000
3.959997, 393.000000
3.979997, 394.000000
3.999997, 394.000000
4.019997, 393.000000
4.039997, 393.000000
4.059997, 394.000000
4.079997, 394.000000
4.099997, 394.000000
4.119997, 394.000000
4.139997, 394.000000
4.159997, 392.000000
4.179997, 394.000000
4.199997, 393.000000
4.219997, 393.000000
4.239997, 394.000000
4.259997, 393.000000
4.279997, 394.000000
4.299997, 393.000000
4.319997, 395.000000
4.339997, 394.000000
4.359997, 394.000000
4.379997, 394.000000
4.399997, 393.000000
4.419997, 394.000000
4.439997, 392.000000
4.459997, 394.000000
4.479997, 394.000000
4.499997, 394.000000
4.519997, 394.000000
4.539997, 393.000000
4.559997, 394.000000
4.579997, 393.000000
4.599997, 393.000000
4.619997, 394.000000
4.639997, 394.000000
4.659997, 393.000000
4.679996, 394.000000
4.699996, 392.000000
4.719996, 394.000000
4.739996, 394.000000
4.759996, 393.000000
4.779996, 394.000000
4.799996, 393.000000
4.819996, 393.000000
4.839996, 393.000000
4.859996, 394.000000
4.879996, 394.000000
4.899996, 394.000000
4.919996, 393.000000
4.939996, 395.000000
4.959996, 393.000000
4.979996, 393.000000
4.999996, 394.000000
5.019996, 393.000000
5.039996, 394.000000
5.059996, 393.000000
5.079996, 393.000000
5.099996, 394.000000
5.119996, 394.000000
5.139996, 393.000000
5.159996, 393.000000
5.179996, 394.000000
5.199996, 393.000000
5.219996, 394.000000
5.239996, 395.000000
5.259996, 394.000000
5.279996, 394.000000
5.299996, 393.000000
5.319996, 393.000000
5.339996, 393.000000
5.359996, 395.000000
5.379996, 394.000000
5.399996, 394.000000
5.419996, 394.000000
5.439996, 393.000000
5.459996, 393.000000
5.479996, 394.000000
5.499996, 394.000000
5.519996, 394.000000
5.539996, 394.000000
5.559996, 394.000000
5.579996, 394.000000
5.599996, 394.000000
5.619996, 394.000000
5.639996, 393.000000
5.659996, 392.000000
5.679996, 394.000000
5.699996, 393.000000
5.719995, 395.000000
5.739995, 394.000000
5.759995, 393.000000
5.779995, 413.000000
5.799995, 394.000000
5.819995, 393.000000
5.839995, 393.000000
5.859995, 394.000000
5.879995, 394.000000
5.899995, 395.000000
5.919995, 393.000000
5.939995, 393.000000
5.959995, 394.000000
5.979995, 394.000000
5.999995, 395.000000
6.019995, 395.000000
6.039995, 393.000000
6.059995, 394.000000
6.079995, 394.000000
6.099995, 394.000000
6.119995, 394.000000
6.139995, 393.000000
6.159995, 393.000000
6.179995, 394.000000
6.199995, 394.000000
6.219995, 393.000000
6.239995, 394.000000
6.259995, 394.000000
6.279995, 393.000000
6.299995, 395.000000
6.319995, 394.000000
6.339995, 394.000000
6.359995, 394.000000
6.379995, 394.000000
6.399995, 394.000000
6.419995, 394.000000
6.439995, 393.000000
6.459995, 394.000000
6.479995, 394.000000
6.499995, 394.000000
6.519995, 393.000000
6.539995, 396.000000
6.559995, 395.000000
6.579995, 393.000000
6.599995, 394.000000
6.619995, 393.000000
6.639995, 393.000000
6.659995, 394.000000
6.679995, 393.000000
6.699995, 393.000000
6.719995, 394.000000
6.739995, 394.000000
6.759995, 393.000000
6.779994, 394.000000
6.799994, 394.000000
6.819994, 395.000000
6.839994, 394.000000
6.859994, 394.000000
6.879994, 394.000000
6.899994, 394.000000
6.919994, 393.000000
6.939994, 393.000000
6.959994, 394.000000
6.979994, 394.000000
6.999994, 393.000000
7.019994, 394.000000
7.039994, 394.000000
7.059994, 392.000000
7.079994, 393.000000
7.099994, 394.000000
7.119994, 394.000000
7.139994, 393.000000
7.159994, 394.000000
7.179994, 394.000000
7.199994, 394.000000
7.219994, 394.000000
7.239994, 394.000000
7.259994, 395.000000
7.279994, 394.000000
7.299994, 394.000000
7.319994, 394.000000
7.339994, 395.000000
7.359994, 394.000000
7.379994, 393.000000
7.399994, 394.000000
7.419994, 393.000000
7.439994, 393.000000
7.459994, 395.000000
7.479994, 394.000000
7.499994, 393.000000
7.519994, 393.000000
7.539994, 394.000000
7.559994, 393.000000
7.579994, 394.000000
7.599994, 395.000000
7.619994, 393.000000
7.639994, 394.000000
7.659994, 394.000000
7.679994, 394.000000
7.699994, 394.000000
7.719994, 395.000000
7.739994, 394.000000
7.759994, 394.000000
7.779994, 394.000000
7.799994, 395.000000
7.819993, 395.000000
7.839993, 395.000000
7.859993, 393.000000
7.879993, 392.000000
7.899993, 393.000000
7.919993, 399.000000
7.939993, 393.000000
7.959993, 389.000000
7.979993, 392.000000
7.999993, 393.000000
8.019994, 393.000000
8.039994, 393.000000
8.059995, 394.000000
8.079995, 393.000000
8.099996, 393.000000
8.119996, 394.000000
8.139997, 394.000000
8.159997, 394.000000
8.179997, 393.000000
8.199998, 394.000000
8.219998, 393.000000
8.239999, 393.000000
8.259999, 392.000000
8.280000, 394.000000
8.300000, 393.000000
8.320001, 394.000000
8.340001, 393.000000
8.360002, 393.000000
8.380002, 394.000000
8.400002, 393.000000
8.420003, 394.000000
8.440003, 394.000000
8.460004, 394.000000
8.480004, 393.000000
8.500005, 393.000000
8.520005, 395.000000
8.540006, 394.000000
8.560006, 394.000000
8.580007, 394.000000
8.600007, 394.000000
8.620008, 394.000000
8.640008, 394.000000
8.660008, 394.000000
8.680009, 395.000000
8.700009, 395.000000
8.720010, 394.000000
8.740010, 394.000000
8.760011, 394.000000
8.780011, 394.000000
8.800012, 393.000000
8.820012, 395.000000
8.840013, 393.000000
8.860013, 393.000000
8.880013, 393.000000
8.900014, 394.000000
8.920014, 393.000000
8.940015, 394.000000
8.960015, 394.000000
8.980016, 394.000000
9.000016, 394.000000
9.020017, 394.000000
9.040017, 393.000000
9.060018, 394.000000
9.080018, 394.000000
9.100019, 393.000000
9.120019, 393.000000
9.140019, 394.000000
9.160020, 394.000000
9.180020, 394.000000
9.200021, 393.000000
9.220021, 394.000000
9.240022, 394.000000
9.260022, 394.000000
9.280023, 394.000000
9.300023, 394.000000
9.320024, 394.000000
9.340024, 394.000000
9.360024, 394.000000
9.380025, 394.000000
9.400025, 393.000000
9.420026, 394.000000
9.440026, 394.000000
9.460027, 393.000000
9.480027, 394.000000
9.500028, 394.000000
9.520028, 394.000000
9.540029, 393.000000
9.560029, 393.000000
9.580029, 394.000000
9.600030, 393.000000
9.620030, 394.000000
9.640031, 393.000000
9.660031, 393.000000
9.680032, 394.000000
9.700032, 394.000000
9.720033, 393.000000
9.740033, 395.000000
9.760034, 394.000000
9.780034, 394.000000
9.800035, 394.000000
9.820035, 393.000000
9.840035, 393.000000
9.860036, 393.000000
9.880036, 395.000000
9.900037, 394.000000
9.920037, 394.000000
9.940038, 393.000000
9.960038, 394.000000
9.980039, 393.000000
