t, phi2, phi3
0.000000, -0.578273, 0.776052
0.020000, -0.578259, 0.776092
0.040000, -0.578229, 0.776139
0.060000, -0.578218, 0.776191
0.080000, -0.578199, 0.776214
0.100000, -0.578195, 0.776241
0.120000, -0.578183, 0.776271
0.140000, -0.578173, 0.776316
0.160000, -0.578161, 0.776352
0.180000, -0.578172, 0.776403
0.200000, -0.578180, 0.776439
0.220000, -0.578182, 0.776461
0.240000, -0.578170, 0.776488
0.260000, -0.578161, 0.776513
0.280000, -0.578146, 0.776543
0.300000, -0.578142, 0.776585
0.320000, -0.578146, 0.776622
0.340000, -0.578132, 0.776641
0.360000, -0.578126, 0.776687
0.380000, -0.578109, 0.776715
0.400000, -0.578075, 0.776734
0.420000, -0.578069, 0.776765
0.440000, -0.578055, 0.776784
0.460000, -0.578037, 0.776801
0.480000, -0.578030, 0.776843
0.500000, -0.578033, 0.776882
0.520000, -0.578017, 0.776906
0.540000, -0.577995, 0.776940
0.560000, -0.577991, 0.776958
0.580000, -0.577978, 0.776984
0.600000, -0.577977, 0.777000
0.620000, -0.577977, 0.777026
0.640000, -0.577965, 0.777038
0.660000, -0.577959, 0.777052
0.680000, -0.577949, 0.777070
0.700000, -0.577941, 0.777067
0.720000, -0.577935, 0.777084
0.740000, -0.577936, 0.777107
0.760000, -0.577940, 0.777121
0.780000, -0.577955, 0.777126
0.800000, -0.577944, 0.777153
0.820000, -0.577928, 0.777189
0.840000, -0.577922, 0.777198
0.860000, -0.577915, 0.777207
0.880000, -0.577935, 0.777231
0.900000, -0.577925, 0.777259
0.920000, -0.577899, 0.777270
0.940000, -0.577876, 0.777263
0.960000, -0.577872, 0.777319
0.980000, -0.577882, 0.777321
1.000000, -0.577872, 0.777334
1.020000, -0.577880, 0.777369
1.040000, -0.577879, 0.777389
1.060000, -0.577876, 0.777385
1.080000, -0.577858, 0.777421
1.100000, -0.577847, 0.777437
1.120000, -0.577822, 0.777442
1.140000, -0.577834, 0.777471
1.159999, -0.577846, 0.777473
1.179999, -0.577823, 0.777467
1.199999, -0.577809, 0.777490
1.219999, -0.577809, 0.777503
1.239999, -0.577794, 0.777505
1.259999, -0.577783, 0.777516
1.279999, -0.577778, 0.777519
1.299999, -0.577767, 0.777520
1.319999, -0.577774, 0.777542
1.339999, -0.577755, 0.777553
1.359999, -0.577744, 0.777573
1.379999, -0.577735, 0.777570
1.399999, -0.577721, 0.777570
1.419999, -0.577708, 0.777553
1.439999, -0.577696, 0.777567
1.459999, -0.577689, 0.777579
1.479999, -0.577676, 0.777578
1.499999, -0.577658, 0.777574
1.519999, -0.577652, 0.777599
1.539999, -0.577653, 0.777614
1.559999, -0.577671, 0.777644
1.579999, -0.577671, 0.777689
1.599999, -0.577705, 0.777607
1.619999, -0.577594, 0.777649
1.639999, -0.577606, 0.777653
1.659999, -0.577636, 0.777702
1.679999, -0.577609, 0.777686
1.699999, -0.577599, 0.777737
1.719999, -0.577568, 0.777707
1.739999, -0.577576, 0.777742
1.759999, -0.577586, 0.777748
1.779999, -0.577565, 0.777764
1.799999, -0.577571, 0.777754
1.819999, -0.577585, 0.777826
1.839999, -0.577556, 0.777818
1.859999, -0.577569, 0.777879
1.879999, -0.577518, 0.777820
1.899999, -0.577576, 0.777862
1.919999, -0.577520, 0.777857
1.939999, -0.577497, 0.777932
1.959999, -0.577522, 0.777951
1.979999, -0.577511, 0.777955
1.999999, -0.577477, 0.777982
2.019999, -0.577497, 0.778007
2.039999, -0.577538, 0.778160
2.059999, -0.577521, 0.778015
2.079999, -0.577529, 0.777991
2.099999, -0.576941, 0.777890
2.119999, -0.577268, 0.778383
2.139999, -0.577253, 0.778415
2.159999, -0.577145, 0.778365
2.179999, -0.577381, 0.778407
2.199999, -0.577599, 0.778210
2.219999, -0.577130, 0.777403
2.239999, -0.576717, 0.777078
2.259999, -0.576754, 0.777332
2.279999, -0.577007, 0.777862
2.299999, -0.577282, 0.778136
2.319999, -0.577198, 0.778091
2.339998, -0.577210, 0.778158
2.359998, -0.577213, 0.778044
2.379998, -0.577112, 0.777645
2.399998, -0.577127, 0.776613
2.419998, -0.576407, 0.773423
2.439998, -0.573166, 0.766795
2.459998, -0.568281, 0.758718
2.479998, -0.561471, 0.750031
2.499998, -0.553320, 0.739291
2.519998, -0.545000, 0.725632
2.539998, -0.536152, 0.707830
2.559998, -0.525980, 0.686154
2.579998, -0.512831, 0.659289
2.599998, -0.499819, 0.632457
2.619998, -0.482946, 0.597507
2.639998, -0.464520, 0.560891
2.659998, -0.445807, 0.522202
2.679998, -0.427455, 0.481230
2.699998, -0.407077, 0.439906
2.719998, -0.384838, 0.398969
2.739998, -0.362036, 0.357675
2.759998, -0.338737, 0.316194
2.779998, -0.314924, 0.275526
2.799998, -0.290489, 0.236326
2.819998, -0.265563, 0.199327
2.839998, -0.240586, 0.165291
2.859998, -0.215587, 0.134407
2.879998, -0.190306, 0.106646
2.899998, -0.164643, 0.082552
2.919998, -0.139415, 0.061688
2.939998, -0.114821, 0.043253
2.959998, -0.091744, 0.026641
2.979998, -0.071640, 0.010610
2.999998, -0.055551, -0.004651
3.019998, -0.042584, -0.018012
3.039998, -0.030618, -0.028703
3.059998, -0.018959, -0.035674
3.079998, -0.007533, -0.039358
3.099998, 0.003570, -0.041014
3.119998, 0.013007, -0.041370
3.139998, 0.020089, -0.041600
3.159998, 0.024866, -0.041752
3.179998, 0.028139, -0.041755
3.199998, 0.030466, -0.041251
3.219998, 0.032004, -0.039564
3.239998, 0.033112, -0.037276
3.259998, 0.033603, -0.035166
3.279998, 0.032975, -0.032720
3.299998, 0.031671, -0.030294
3.319998, 0.030362, -0.028895
3.339998, 0.028417, -0.027855
3.359998, 0.025979, -0.026998
3.379997, 0.023768, -0.026762
3.399997, 0.021774, -0.026830
3.419997, 0.019828, -0.026844
3.439997, 0.017924, -0.026910
3.459997, 0.015914, -0.026852
3.479997, 0.013968, -0.026962
3.499997, 0.012157, -0.027001
3.519997, 0.010664, -0.027137
3.539997, 0.009535, -0.027103
3.559997, 0.008720, -0.026682
3.579997, 0.008174, -0.025861
3.599997, 0.008066, -0.025279
3.619997, 0.008015, -0.024464
3.639997, 0.008026, -0.023440
3.659997, 0.008330, -0.022443
3.679997, 0.008876, -0.021454
3.699997, 0.009519, -0.020274
3.719997, 0.010270, -0.019073
3.739997, 0.010907, -0.017563
3.759997, 0.011652, -0.016403
3.779997, 0.012470, -0.015303
3.799997, 0.013409, -0.014207
3.819997, 0.014330, -0.013259
3.839997, 0.015273, -0.012361
3.859997, 0.016395, -0.011524
3.879997, 0.017666, -0.010865
3.899997, 0.018561, -0.009734
3.919997, 0.019593, -0.008898
3.939997, 0.020617, -0.007598
3.959997, 0.021754, -0.006199
3.979997, 0.022684, -0.004373
3.999997, 0.023655, -0.001619
4.019997, 0.022844, 0.001720
4.039997, 0.020668, 0.002600
4.059997, 0.019582, 0.002137
4.079997, 0.018380, 0.002560
4.099997, 0.017887, 0.001313
4.119997, 0.015018, 0.003277
4.139997, 0.014132, 0.001539
4.159997, 0.010508, 0.001576
4.179997, 0.006465, 0.001921
4.199997, 0.002652, 0.002510
4.219997, -0.000788, 0.001890
4.239997, -0.004134, 0.000639
4.259997, -0.007289, -0.000559
4.279997, -0.010103, -0.001494
4.299997, -0.012258, -0.002043
4.319997, -0.013356, -0.003373
4.339997, -0.013775, -0.004222
4.359997, -0.013822, -0.004726
4.379997, -0.013270, -0.006515
4.399997, -0.012874, -0.007748
4.419997, -0.012393, -0.009806
4.439997, -0.012481, -0.010156
4.459997, -0.012056, -0.011923
4.479997, -0.011955, -0.013067
4.499997, -0.012263, -0.013796
4.519997, -0.012604, -0.015217
4.539997, -0.012605, -0.017452
4.559997, -0.012797, -0.019384
4.579997, -0.012676, -0.021962
4.599997, -0.012254, -0.025231
4.619997, -0.011977, -0.027817
4.639997, -0.011657, -0.030553
4.659997, -0.011284, -0.033215
4.679996, -0.010803, -0.036131
4.699996, -0.010307, -0.038788
4.719996, -0.009906, -0.041250
4.739996, -0.009238, -0.044326
4.759996, -0.008612, -0.047580
4.779996, -0.008268, -0.049554
4.799996, -0.008175, -0.050578
4.819996, -0.007517, -0.052499
4.839996, -0.007282, -0.052744
4.859996, -0.006401, -0.053887
4.879996, -0.005733, -0.054920
4.899996, -0.005486, -0.052951
4.919996, -0.004565, -0.051911
4.939996, -0.004164, -0.048489
4.959996, -0.003220, -0.045958
4.979996, -0.001892, -0.041818
4.999996, -0.000801, -0.036498
5.019996, -0.000781, -0.028842
5.039996, -0.001745, -0.018220
5.059996, -0.001116, -0.014745
5.079996, -0.002002, -0.005775
5.099996, -0.002243, 0.001871
5.119996, -0.002743, 0.009663
5.139996, -0.003451, 0.017102
5.159996, -0.004356, 0.024551
5.179996, -0.005890, 0.030560
5.199996, -0.007575, 0.036247
5.219996, -0.006690, 0.037700
5.239996, -0.007411, 0.039969
5.259996, -0.006911, 0.040171
5.279996, -0.007522, 0.041054
5.299996, -0.006974, 0.039410
5.319996, -0.008294, 0.039408
5.339996, -0.007344, 0.035399
5.359996, -0.006394, 0.030801
5.379996, -0.005216, 0.023912
5.399996, -0.005982, 0.017319
5.419996, -0.007459, 0.010915
5.439996, -0.008762, 0.002658
5.459996, -0.009958, -0.005555
5.479996, -0.011159, -0.013378
5.499996, -0.012933, -0.019437
5.519996, -0.013593, -0.027107
5.539996, -0.014186, -0.034164
5.559996, -0.015173, -0.038685
5.579996, -0.015293, -0.043857
5.599996, -0.015091, -0.048627
5.619996, -0.015610, -0.050796
5.639996, -0.014850, -0.054774
5.659996, -0.014346, -0.056619
5.679996, -0.013706, -0.057650
5.699996, -0.012599, -0.059480
5.719995, -0.011717, -0.060081
5.739995, -0.011045, -0.058715
5.759995, -0.010225, -0.056849
5.779995, -0.009077, -0.053877
5.799995, -0.007659, -0.051279
5.819995, -0.006460, -0.047281
5.839995, -0.004939, -0.043548
5.859995, -0.003846, -0.039004
5.879995, -0.002220, -0.034134
5.899995, -0.001186, -0.028511
5.919995, -0.001055, -0.020478
5.939995, 0.000324, -0.015283
5.959995, 0.001513, -0.010618
5.979995, 0.000415, -0.003738
5.999995, -0.001455, 0.001656
6.019995, -0.004090, 0.006966
6.039995, -0.007994, 0.014783
6.059995, -0.010060, 0.020034
6.079995, -0.012267, 0.025484
6.099995, -0.015279, 0.031847
6.119995, -0.017160, 0.035710
6.139995, -0.018400, 0.037418
6.159995, -0.018722, 0.037641
6.179995, -0.020096, 0.039797
6.199995, -0.019875, 0.039081
6.219995, -0.020187, 0.039130
6.239995, -0.018945, 0.035522
6.259995, -0.018628, 0.034413
6.279995, -0.018656, 0.033754
6.299995, -0.019003, 0.030740
6.319995, -0.020461, 0.028002
6.339995, -0.020887, 0.021344
6.359995, -0.022154, 0.015088
6.379995, -0.023169, 0.007932
6.399995, -0.023446, 0.001594
6.419995, -0.022956, -0.004408
6.439995, -0.021830, -0.010669
6.459995, -0.020777, -0.015764
6.479995, -0.019324, -0.021227
6.499995, -0.018221, -0.025908
6.519995, -0.017139, -0.030175
6.539995, -0.016078, -0.033853
6.559995, -0.015267, -0.036571
6.579995, -0.014406, -0.039302
6.599995, -0.013752, -0.041582
6.619995, -0.013131, -0.043934
6.639995, -0.012517, -0.046507
6.659995, -0.012772, -0.046966
6.679995, -0.012112, -0.049320
6.699995, -0.011982, -0.049490
6.719995, -0.011355, -0.050035
6.739995, -0.010633, -0.050447
6.759995, -0.010396, -0.048260
6.779994, -0.010180, -0.044598
6.799994, -0.008837, -0.043978
6.819994, -0.008433, -0.039592
6.839994, -0.006963, -0.035698
6.859994, -0.006125, -0.030139
6.879994, -0.004813, -0.024722
6.899994, -0.003477, -0.019136
6.919994, -0.003521, -0.011561
6.939994, -0.005120, -0.004886
6.959994, -0.008270, 0.000630
6.979994, -0.010212, 0.003105
6.999994, -0.012160, 0.006797
7.019994, -0.014487, 0.011019
7.039994, -0.016717, 0.014156
7.059994, -0.018338, 0.016241
7.079994, -0.019408, 0.017692
7.099994, -0.020302, 0.019355
7.119994, -0.021011, 0.020467
7.139994, -0.021468, 0.021386
7.159994, -0.021823, 0.021795
7.179994, -0.022040, 0.021397
7.199994, -0.021924, 0.020130
7.219994, -0.021947, 0.019244
7.239994, -0.021466, 0.017846
7.259994, -0.021080, 0.016329
7.279994, -0.021173, 0.015765
7.299994, -0.019944, 0.012218
7.319994, -0.019938, 0.010767
7.339994, -0.019536, 0.008129
7.359994, -0.019811, 0.005860
7.379994, -0.019641, 0.002371
7.399994, -0.019459, -0.000423
7.419994, -0.019009, -0.003632
7.439994, -0.018950, -0.005780
7.459994, -0.018295, -0.008940
7.479994, -0.017544, -0.012240
7.499994, -0.017143, -0.014549
7.519994, -0.016361, -0.017555
7.539994, -0.015708, -0.020464
7.559994, -0.015254, -0.023121
7.579994, -0.014576, -0.026342
7.599994, -0.014387, -0.028261
7.619994, -0.014399, -0.029146
7.639994, -0.014826, -0.029116
7.659994, -0.014164, -0.030619
7.679994, -0.013652, -0.031566
7.699994, -0.013119, -0.031566
7.719994, -0.013264, -0.030167
7.739994, -0.012729, -0.030043
7.759994, -0.012087, -0.029431
7.779994, -0.011607, -0.028385
7.799994, -0.011470, -0.025369
7.819993, -0.011281, -0.021592
7.839993, -0.010663, -0.018341
7.859993, -0.010225, -0.014681
7.879993, -0.009695, -0.010998
7.899993, -0.009239, -0.007505
7.919993, -0.009112, -0.003722
7.939993, -0.009044, -0.000472
7.959993, -0.009554, 0.003339
7.979993, -0.010026, 0.006640
7.999993, -0.010540, 0.010126
8.019994, -0.011225, 0.013538
8.039994, -0.012074, 0.016053
8.059995, -0.013013, 0.018492
8.079995, -0.013588, 0.019840
8.099996, -0.014407, 0.021201
8.119996, -0.015056, 0.022273
8.139997, -0.015325, 0.022703
8.159997, -0.016008, 0.023524
8.179997, -0.016281, 0.023226
8.199998, -0.016714, 0.022960
8.219998, -0.017367, 0.023158
8.239999, -0.017126, 0.022106
8.259999, -0.016379, 0.020234
8.280000, -0.015575, 0.017944
8.300000, -0.014717, 0.015265
8.320001, -0.014328, 0.013022
8.340001, -0.013634, 0.009766
8.360002, -0.013268, 0.006912
8.380002, -0.012627, 0.003429
8.400002, -0.012070, -0.000047
8.420003, -0.012129, -0.002448
8.440003, -0.012567, -0.004206
8.460004, -0.012564, -0.006937
8.480004, -0.012571, -0.009895
8.500005, -0.012290, -0.013122
8.520005, -0.011828, -0.016348
8.540006, -0.011559, -0.018859
8.560006, -0.011617, -0.020142
8.580007, -0.011130, -0.022446
8.600007, -0.010924, -0.024141
8.620008, -0.011113, -0.024383
8.640008, -0.010615, -0.026258
8.660008, -0.010303, -0.026916
8.680009, -0.010071, -0.027117
8.700009, -0.009629, -0.027329
8.720010, -0.009713, -0.025463
8.740010, -0.009567, -0.023646
8.760011, -0.009206, -0.021675
8.780011, -0.008774, -0.019167
8.800012, -0.008719, -0.015675
8.820012, -0.008362, -0.012499
8.840013, -0.007576, -0.009911
8.860013, -0.007057, -0.006874
8.880013, -0.006896, -0.003297
8.900014, -0.006481, -0.000317
8.920014, -0.006308, 0.003093
8.940015, -0.006405, 0.007068
8.960015, -0.006437, 0.010569
8.980016, -0.006697, 0.013952
9.000016, -0.007272, 0.017172
9.020017, -0.007983, 0.020030
9.040017, -0.008572, 0.022466
9.060018, -0.009620, 0.025409
9.080018, -0.010403, 0.027319
9.100019, -0.010646, 0.027889
9.120019, -0.011567, 0.029637
9.140019, -0.011853, 0.029901
9.160020, -0.011560, 0.028624
9.180020, -0.012488, 0.029069
9.200021, -0.012816, 0.028277
9.220021, -0.012556, 0.026004
9.240022, -0.012628, 0.024794
9.260022, -0.012188, 0.022387
9.280023, -0.011626, 0.019530
9.300023, -0.011151, 0.016552
9.320024, -0.010708, 0.013606
9.340024, -0.009962, 0.009531
9.360024, -0.010042, 0.006892
9.380025, -0.009529, 0.002850
9.400025, -0.009260, -0.001217
9.420026, -0.009382, -0.004704
9.440026, -0.009251, -0.008801
9.460027, -0.009145, -0.012727
9.480027, -0.009396, -0.015579
9.500028, -0.009859, -0.017794
9.520028, -0.010458, -0.019565
9.540029, -0.009989, -0.022796
9.560029, -0.009562, -0.025760
9.580029, -0.008801, -0.029074
9.600030, -0.008782, -0.030494
9.620030, -0.007925, -0.033602
9.640031, -0.007188, -0.035840
9.660031, -0.006817, -0.036600
9.680032, -0.005790, -0.038139
9.700032, -0.005268, -0.037939
9.720033, -0.004327, -0.038026
9.740033, -0.003315, -0.037692
9.760034, -0.001702, -0.036748
9.780034, -0.001070, -0.034874
9.800035, -0.000288, -0.032343
9.820035, 0.000274, -0.028260
9.840035, 0.000191, -0.021431
9.860036, -0.000187, -0.013580
9.880036, -0.000291, -0.004540
9.900037, 0.000365, 0.002427
9.920037, 0.000167, 0.010362
9.940038, -0.000841, 0.017807
9.960038, -0.002157, 0.024651
9.980039, -0.004561, 0.032242
10.000039, -0.005024, 0.034837
10.020040, -0.007146, 0.040734
10.040040, -0.008190, 0.041821
10.060040, -0.011088, 0.046007
10.080041, -0.013660, 0.047986
10.100041, -0.016549, 0.049135
10.120042, -0.018515, 0.047720
10.140042, -0.019952, 0.045556
10.160043, -0.021958, 0.045595
10.180043, -0.020784, 0.041051
10.200044, -0.020437, 0.038599
10.220044, -0.018655, 0.033387
10.240045, -0.015803, 0.026320
10.260045, -0.012374, 0.020102
10.280046, -0.009579, 0.014595
10.300046, -0.008686, 0.009179
10.320046, -0.008084, 0.002484
10.340047, -0.007468, -0.005626
10.360047, -0.008336, -0.010168
10.380048, -0.008926, -0.015442
10.400048, -0.009534, -0.020942
10.420049, -0.010430, -0.025446
10.440049, -0.011464, -0.029400
10.460050, -0.012409, -0.032988
10.480050, -0.013079, -0.036372
10.500051, -0.013320, -0.039604
10.520051, -0.013875, -0.041073
10.540051, -0.014339, -0.041972
10.560052, -0.013890, -0.043840
10.580052, -0.014048, -0.043254
10.600053, -0.013598, -0.042559
10.620053, -0.013468, -0.039422
10.640054, -0.012726, -0.037162
10.660054, -0.012213, -0.036162
10.680055, -0.012804, -0.031884
10.700055, -0.012478, -0.028313
10.720056, -0.011894, -0.023826
10.740056, -0.011632, -0.017489
10.760056, -0.010974, -0.012058
10.780057, -0.010214, -0.007160
10.800057, -0.009498, -0.002438
10.820058, -0.009294, 0.002138
10.840058, -0.009394, 0.005695
10.860059, -0.010914, 0.009933
10.880059, -0.012044, 0.012191
10.900060, -0.013234, 0.013558
10.920060, -0.014205, 0.014905
10.940061, -0.014837, 0.014869
10.960061, -0.015640, 0.015244
10.980062, -0.016508, 0.015352
11.000062, -0.017493, 0.015637
11.020062, -0.017450, 0.013959
11.040063, -0.017652, 0.013377
11.060063, -0.017652, 0.012369
11.080064, -0.017402, 0.011171
11.100064, -0.017108, 0.009666
11.120065, -0.016637, 0.007932
11.140065, -0.015902, 0.005447
11.160066, -0.015295, 0.003031
11.180066, -0.014906, 0.000932
11.200067, -0.014429, -0.001410
11.220067, -0.014015, -0.003718
11.240067, -0.013518, -0.006421
11.260068, -0.013552, -0.008279
11.280068, -0.013345, -0.010821
11.300069, -0.013203, -0.012996
11.320069, -0.013165, -0.014769
11.340070, -0.013524, -0.015614
11.360070, -0.013497, -0.017009
11.380071, -0.013451, -0.017900
11.400071, -0.012800, -0.019751
11.420072, -0.012356, -0.021082
11.440072, -0.011774, -0.022305
11.460073, -0.011063, -0.023336
11.480073, -0.010277, -0.024659
11.500073, -0.010904, -0.022649
11.520074, -0.011858, -0.019737
11.540074, -0.011860, -0.018670
11.560075, -0.011934, -0.017247
11.580075, -0.011965, -0.014719
11.600076, -0.011587, -0.012438
11.620076, -0.010961, -0.010429
11.640077, -0.010730, -0.007699
11.660077, -0.010425, -0.004648
11.680078, -0.009890, -0.001511
11.700078, -0.009401, 0.001779
11.720078, -0.009044, 0.004786
11.740079, -0.008542, 0.007203
11.760079, -0.008822, 0.010813
11.780080, -0.009049, 0.013413
11.800080, -0.009888, 0.016745
11.820081, -0.010564, 0.019690
11.840081, -0.010622, 0.021231
11.860082, -0.010866, 0.022673
11.880082, -0.010939, 0.023300
11.900083, -0.011452, 0.024411
11.920083, -0.011891, 0.024971
11.940084, -0.012491, 0.025744
11.960084, -0.013192, 0.026337
11.980084, -0.013967, 0.026897
12.000085, -0.014622, 0.027092
12.020085, -0.014746, 0.026128
12.040086, -0.014326, 0.023790
12.060086, -0.014140, 0.022237
12.080087, -0.013661, 0.019769
12.100087, -0.013313, 0.017239
12.120088, -0.012966, 0.014500
12.140088, -0.012401, 0.010556
12.160089, -0.012570, 0.007811
12.180089, -0.012263, 0.004045
12.200089, -0.011640, -0.000204
12.220090, -0.011214, -0.004478
12.240090, -0.010805, -0.008786
12.260091, -0.010221, -0.013028
12.280091, -0.010371, -0.015607
12.300092, -0.010206, -0.018267
12.320092, -0.009624, -0.021824
12.340093, -0.009731, -0.023505
12.360093, -0.009491, -0.025096
12.380094, -0.009219, -0.026698
12.400094, -0.008826, -0.027780
12.420094, -0.008563, -0.027871
12.440095, -0.007362, -0.029280
12.460095, -0.006509, -0.029412
12.480096, -0.005764, -0.028243
12.500096, -0.005414, -0.025977
12.520097, -0.004880, -0.023728
12.540097, -0.004832, -0.020721
12.560098, -0.005003, -0.015746
12.580098, -0.004453, -0.012064
12.600099, -0.004038, -0.007323
12.620099, -0.003758, -0.002518
12.640100, -0.003948, 0.002394
12.660100, -0.004525, 0.007187
12.680100, -0.004891, 0.011157
12.700101, -0.006062, 0.016614
12.720101, -0.006937, 0.021568
12.740102, -0.007623, 0.026037
12.760102, -0.008334, 0.029973
12.780103, -0.009055, 0.033362
12.800103, -0.010224, 0.037150
12.820104, -0.012481, 0.042329
12.840104, -0.013943, 0.044318
12.860105, -0.014700, 0.044547
12.880105, -0.015271, 0.044374
12.900105, -0.015250, 0.043002
12.920106, -0.015624, 0.042485
12.940106, -0.015149, 0.040509
12.960107, -0.014865, 0.037839
12.980107, -0.014922, 0.034496
13.000108, -0.014634, 0.030364
13.020108, -0.015041, 0.025889
13.040109, -0.015313, 0.021068
13.060109, -0.015774, 0.017234
13.080110, -0.015343, 0.011875
13.100110, -0.014369, 0.005943
13.120111, -0.013285, 0.000351
13.140111, -0.012503, -0.004659
13.160111, -0.011830, -0.009676
13.180112, -0.011328, -0.014737
13.200112, -0.011182, -0.019153
13.220113, -0.010635, -0.023993
13.240113, -0.010524, -0.027298
13.260114, -0.009681, -0.031854
13.280114, -0.008615, -0.036085
13.300115, -0.008053, -0.039071
13.320115, -0.007890, -0.040940
13.340116, -0.006802, -0.044714
13.360116, -0.006618, -0.045658
13.380116, -0.006321, -0.046891
13.400117, -0.005968, -0.047428
13.420117, -0.005222, -0.047719
13.440118, -0.005768, -0.044533
13.460118, -0.005317, -0.041941
13.480119, -0.004657, -0.038392
13.500119, -0.003625, -0.035457
13.520120, -0.003182, -0.029097
13.540120, -0.002251, -0.024248
13.560121, -0.001385, -0.019900
13.580121, -0.001922, -0.010958
13.600121, -0.001432, -0.003727
13.620122, -0.002323, 0.006059
13.640122, -0.002429, 0.013576
13.660123, -0.002911, 0.020283
13.680123, -0.004490, 0.026802
13.700124, -0.006871, 0.032440
13.720124, -0.010318, 0.036878
13.740125, -0.013353, 0.038131
13.760125, -0.016003, 0.039273
13.780126, -0.019295, 0.041089
13.800126, -0.020698, 0.040206
13.820127, -0.019907, 0.036310
13.840127, -0.019546, 0.035625
13.860127, -0.018576, 0.033706
13.880128, -0.017485, 0.030402
13.900128, -0.016926, 0.027515
13.920129, -0.016616, 0.025335
13.940129, -0.016257, 0.022697
13.960130, -0.016092, 0.020761
13.980130, -0.014516, 0.015998
14.000131, -0.015350, 0.013200
14.020131, -0.015699, 0.008540
14.040132, -0.015523, 0.001931
14.060132, -0.015673, -0.002561
14.080132, -0.015619, -0.007699
14.100133, -0.016027, -0.011645
14.120133, -0.016323, -0.015887
14.140134, -0.016237, -0.020643
14.160134, -0.015932, -0.025055
14.180135, -0.015890, -0.028202
14.200135, -0.015191, -0.032502
14.220136, -0.014871, -0.035470
14.240136, -0.014553, -0.037943
14.260137, -0.013857, -0.040546
14.280137, -0.013499, -0.041808
14.300138, -0.013053, -0.043204
14.320138, -0.012292, -0.045172
